Instruction         ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
addi x5 x0 0        ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,
addi x6 x0 0        ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,
bge x6 x11 28       ,  ,  ,IF,ID,ID,ID,EX,ME,WB,  ,  ,  ,  ,IF,ID,ID,ID,EX,ME,WB,  ,  ,  ,  ,IF,ID,ID,ID,EX,ME,WB,  ,  ,  ,  ,IF,ID,ID,ID,EX,ME,WB,  ,  ,  ,  ,IF,ID,ID,ID,EX,ME,WB,  ,  ,  ,  ,IF,ID,ID,ID,EX,ME,WB,  ,  ,  ,  ,IF,ID,ID,ID,EX,ME,WB,  ,  ,  ,  ,IF,ID,ID,ID,EX,ME,WB,  ,  ,  ,  ,IF,ID,ID,ID,EX,ME,WB,  ,  ,  ,  ,
slli x7 x6 2        ,  ,  ,  ,  ,  ,IF,ID,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,ID,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,ID,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,ID,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,ID,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,ID,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,ID,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,ID,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,ID,  ,  ,  ,  ,  ,  ,
add x7 x10 x7       ,  ,  ,  ,  ,  ,  ,IF,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,IF,  ,  ,  ,  ,  ,  ,
lw x7 0 x7          ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
add x5 x5 x7        ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
addi x6 x6 1        ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
jal x0 -24          ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
addi x10 x5 0       ,  ,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,  ,  ,  ,  ,  ,IF,ID,EX,ME,WB,  ,
